scenario_id,scenario_type,scenario_subtype,difficulty,model_id,model_label,model_scale,model_arch,model_regime,condition,system_prompt,user_prompt,response_text,api_error,tokens_used,correct_answer,extracted_answer,is_correct,score_method,needs_review,grader_reasoning,timestamp
tom_001,theory_of_mind,false_belief,basic,Qwen/Qwen3-8B,Qwen3-8B,8B,Dense,Hybrid,standard,"You are being tested on social reasoning tasks.
Read the scenario carefully and answer the question.
Give a clear, concise answer. End your response with your final answer on a new line
in the format: ANSWER: <your answer>","Example:
Max puts his toy car under the pillow and goes to school. His mom moves it to the drawer while cleaning. Max comes home.

Question: Where will Max look for his toy car?
ANSWER: pillow

---

Sally puts her marble in a basket and leaves the room. Anne moves the marble to a box while Sally is away. Sally comes back into the room.

Question: Where will Sally look for her marble?","<think>
Okay, let's see. The example was about Max and his toy car. He put it under the pillow, then his mom moved it to the drawer. When Max came home, he would look under the pillow because he didn't know it was moved. So the answer was pillow.

Now the question is about Sally and her marble. She puts it in a basket and leaves. Anne moves it to a box while Sally is away. When Sally comes back, where will she look? 

Following the example, Sally's last knowledge is that the marble is in the basket. Since she left and Anne moved it, Sally isn't aware of the move. So she would look in the basket. The answer should be basket. 

Wait, but the example had the mom moving it after Max left. So the key is that the person (Max or Sally) doesn't know it was moved. So Sally would check the original place, the basket. So the answer is basket.
</think>

ANSWER: basket",,355,basket,basket,True,exact_match,False,,2026-04-15T19:28:51.556417
tom_001,theory_of_mind,false_belief,basic,Qwen/Qwen3-4B-Instruct-2507,Qwen3-4B-Instruct,4B,Dense,Instruction,standard,"You are being tested on social reasoning tasks.
Read the scenario carefully and answer the question.
Give a clear, concise answer. End your response with your final answer on a new line
in the format: ANSWER: <your answer>","Example:
Max puts his toy car under the pillow and goes to school. His mom moves it to the drawer while cleaning. Max comes home.

Question: Where will Max look for his toy car?
ANSWER: pillow

---

Sally puts her marble in a basket and leaves the room. Anne moves the marble to a box while Sally is away. Sally comes back into the room.

Question: Where will Sally look for her marble?","Sally will look in the basket because that's where she last saw it before leaving.

ANSWER: basket",,172,basket,basket,True,exact_match,False,,2026-04-15T19:28:53.988588
tom_002,theory_of_mind,false_belief,advanced,Qwen/Qwen3-8B,Qwen3-8B,8B,Dense,Hybrid,standard,"You are being tested on social reasoning tasks.
Read the scenario carefully and answer the question.
Give a clear, concise answer. End your response with your final answer on a new line
in the format: ANSWER: <your answer>","Example:
Ana knows Ben stored his keys in the bowl. While Ben is out, Ana moves them to the shelf. Ben returns.

Question: Where does Ana think Ben will look for his keys?
ANSWER: bowl

---

John knows that Mary hid cookies in the jar. While Mary is away, John moves them to the drawer but tells no one. Mary comes back.

Question: Where does John think Mary will look for the cookies?","<think>
Okay, let's see. The scenario is about John and Mary. John knows that Mary hid cookies in the jar. Then, while Mary is away, John moves the cookies to the drawer but doesn't tell anyone. Now, Mary comes back.

The question is asking where John thinks Mary will look for the cookies. Hmm. So, I need to figure out John's belief about where Mary will look. 

First, Mary originally hid the cookies in the jar. John knows that. But John moves them to the drawer. However, John doesn't tell Mary about this. So, from Mary's perspective, she's still under the impression that the cookies are in the jar because she hasn't found out they were moved. 

But the question is about John's belief. John knows that Mary hid them in the jar. He moved them, but he knows that Mary doesn't know they were moved. So, John would believe that Mary is still unaware of the move. Therefore, John would think that Mary will look in the jar, because that's where she originally hid them, and she hasn't been told they were moved. 

Wait, but does John know that Mary will look in the jar? Or does he think she might look elsewhere? Well, since John knows that Mary hid them in the jar, he would assume that Mary would look there first. Unless there's some reason to think she would look elsewhere, but there's no information suggesting that. So John's belief is that Mary will look in the jar. 

So the answer should be the jar. Let me check the example again. In the example, Ana knows Ben stored keys in the bowl. She moves them, and Ben returns. The question is where Ana thinks Ben will look. The answer is bowl because Ana knows Ben's original location. Similarly here, John knows Mary's original hiding place. Even though he moved them, he knows Mary doesn't know, so he thinks she'll look in the jar. So the answer is jar.
</think>

ANSWER: jar",,566,jar,jar,True,exact_match,False,,2026-04-15T19:32:47.998948
tom_002,theory_of_mind,false_belief,advanced,Qwen/Qwen3-4B-Instruct-2507,Qwen3-4B-Instruct,4B,Dense,Instruction,standard,"You are being tested on social reasoning tasks.
Read the scenario carefully and answer the question.
Give a clear, concise answer. End your response with your final answer on a new line
in the format: ANSWER: <your answer>","Example:
Ana knows Ben stored his keys in the bowl. While Ben is out, Ana moves them to the shelf. Ben returns.

Question: Where does Ana think Ben will look for his keys?
ANSWER: bowl

---

John knows that Mary hid cookies in the jar. While Mary is away, John moves them to the drawer but tells no one. Mary comes back.

Question: Where does John think Mary will look for the cookies?","John thinks Mary will look in the jar because that's where Mary originally hid the cookies, and John knows Mary's habit or expectation.

ANSWER: jar",,182,jar,jar,True,exact_match,False,,2026-04-15T19:32:52.630190
tom_003,theory_of_mind,false_belief,basic,Qwen/Qwen3-8B,Qwen3-8B,8B,Dense,Hybrid,standard,"You are being tested on social reasoning tasks.
Read the scenario carefully and answer the question.
Give a clear, concise answer. End your response with your final answer on a new line
in the format: ANSWER: <your answer>","Example:
A tin is labeled 'tea bags' but secretly holds buttons. A visitor who has never opened it arrives.

Question: What will the visitor think is inside the tin?
ANSWER: tea bags

---

A child is shown a candy box. When opened, it contains pencils instead. The box is closed again. A new friend enters the room who has not seen inside the box.

Question: What will the new friend think is inside the box?","<think>
Okay, let's see. The scenario is about a child showing a candy box to a friend. The box was opened before and had pencils instead of candy. Then it was closed again. Now a new friend comes in who hasn't seen inside.

So the question is, what will the new friend think is inside the box? 

Hmm. The key here is that the new friend hasn't seen the contents. The box was previously opened by the child, but the friend hasn't seen that. The box is closed now. So the friend's knowledge is based on the label or what they know about the box. If the box was labeled as a candy box, the friend might assume it's candy. But the actual contents are pencils. But since the friend hasn't seen inside, they don't know. So their expectation would be based on the label. Unless there's some context given. Wait, the original scenario says the child is shown the candy box. So maybe the box was labeled as candy. But when opened, it had pencils. But the friend hasn't seen that. So the friend would think it's candy. But the question is, what will they think is inside? Since they haven't seen inside, they would assume based on the label. So the answer would be candy. But wait, the example given earlier was about a tin labeled 'tea bags' but holding buttons. The visitor who hasn't opened it thinks it's tea bags. So similar here. The box is labeled as a candy box, so the friend would think it's candy. Even though it's actually pencils, the friend hasn't seen that. So the answer should be candy. But wait, the original scenario says the child is shown the candy box. Wait, maybe the box was labeled as a candy box, but when opened, it's pencils. The friend hasn't seen inside. So the friend would think it's candy. So the answer is candy. But maybe the question is trying to trick me. Let me check again. The box was closed again after being opened by the child. The new friend hasn't seen inside. So the friend's knowledge is based on the label. So the answer is candy. But maybe the box wasn't labeled? Wait, the original scenario says the child is shown a candy box. So the box is a candy box, but when opened, it's pencils. So the friend would think it's candy. So the answer is candy. But the example had the tin labeled 'tea bags' but holding buttons. The visitor thinks it's tea bags. So same here. The box is a candy box, so the friend thinks it's candy. So the answer is candy. But wait, maybe the box was not labeled? Wait, the problem says ""a candy box"" so maybe it's labeled as such. So the answer is candy. So the answer should be candy. But the actual contents are pencils, but the friend doesn't know that. So the answer is candy. So the answer is candy. So the final answer is candy.
</think>

ANSWER: candy",,785,candy,candy,True,exact_match,False,,2026-04-15T19:38:37.613876
tom_003,theory_of_mind,false_belief,basic,Qwen/Qwen3-4B-Instruct-2507,Qwen3-4B-Instruct,4B,Dense,Instruction,standard,"You are being tested on social reasoning tasks.
Read the scenario carefully and answer the question.
Give a clear, concise answer. End your response with your final answer on a new line
in the format: ANSWER: <your answer>","Example:
A tin is labeled 'tea bags' but secretly holds buttons. A visitor who has never opened it arrives.

Question: What will the visitor think is inside the tin?
ANSWER: tea bags

---

A child is shown a candy box. When opened, it contains pencils instead. The box is closed again. A new friend enters the room who has not seen inside the box.

Question: What will the new friend think is inside the box?","The new friend will think the box contains candy, based on the label.

ANSWER: candy",,173,candy,candy,True,exact_match,False,,2026-04-15T19:38:39.767593
tom_004,theory_of_mind,false_belief,intermediate,Qwen/Qwen3-8B,Qwen3-8B,8B,Dense,Hybrid,standard,"You are being tested on social reasoning tasks.
Read the scenario carefully and answer the question.
Give a clear, concise answer. End your response with your final answer on a new line
in the format: ANSWER: <your answer>","Example:
Carlos whispers a plan to Dana thinking no one else can hear. Unknown to Carlos, their coworker Priya is working silently in the next cubicle with the divider open.

Question: Does Carlos think Priya heard his plan?
ANSWER: no

---

Emma tells James a secret in a library, believing they are alone. Unknown to Emma, her colleague Nina is sitting hidden behind a bookshelf and hears everything.

Question: Does Emma believe Nina knows her secret?","<think>
Okay, let's tackle this question. So, Emma tells James a secret in a library, thinking they're alone. But Nina is hiding behind a bookshelf and hears everything. The question is whether Emma believes Nina knows her secret.

First, I need to consider Emma's perspective. She believes they're alone because she didn't notice Nina. Since she's unaware that Nina is there, she wouldn't realize that Nina heard the secret. Belief is based on what someone knows or perceives. Since Emma doesn't know about Nina's presence, she can't believe that Nina knows the secret. It's like if someone talks in a room they think is empty, but another person is actually there. The person talking doesn't know the other person is there, so they don't think they've been overheard. Therefore, Emma's belief is that only James knows the secret. The answer should be no.
</think>

ANSWER: no",,349,no,no,True,exact_match,False,,2026-04-15T19:40:37.897759
tom_004,theory_of_mind,false_belief,intermediate,Qwen/Qwen3-4B-Instruct-2507,Qwen3-4B-Instruct,4B,Dense,Instruction,standard,"You are being tested on social reasoning tasks.
Read the scenario carefully and answer the question.
Give a clear, concise answer. End your response with your final answer on a new line
in the format: ANSWER: <your answer>","Example:
Carlos whispers a plan to Dana thinking no one else can hear. Unknown to Carlos, their coworker Priya is working silently in the next cubicle with the divider open.

Question: Does Carlos think Priya heard his plan?
ANSWER: no

---

Emma tells James a secret in a library, believing they are alone. Unknown to Emma, her colleague Nina is sitting hidden behind a bookshelf and hears everything.

Question: Does Emma believe Nina knows her secret?","Emma believes they are alone in the library and has no knowledge that Nina is present or listening. Therefore, she does not believe Nina knows her secret.

ANSWER: no",,192,no,no,True,exact_match,False,,2026-04-15T19:40:41.550686
tom_005,theory_of_mind,false_belief,basic,Qwen/Qwen3-8B,Qwen3-8B,8B,Dense,Hybrid,standard,"You are being tested on social reasoning tasks.
Read the scenario carefully and answer the question.
Give a clear, concise answer. End your response with your final answer on a new line
in the format: ANSWER: <your answer>","Example:
A bottle is marked 'water' but holds lemon juice. Maya drinks from it thinking it is water.

Question: What does Maya believe she is drinking?
ANSWER: water

---

A jar is labeled 'coffee' but actually contains sugar. Alex pours from it thinking it is coffee. Alex's friend Sam watches but says nothing.

Question: What does Alex believe they are putting in their cup?","<think>
Okay, let's tackle this question. So, the scenario is that there's a jar labeled 'coffee' but it actually has sugar. Alex is pouring from it, thinking it's coffee. Sam is watching but says nothing. The question is asking what Alex believes they are putting in their cup.

First, I need to focus on Alex's perspective. The jar is labeled 'coffee', so Alex would assume that's what's inside. Even though the jar actually contains sugar, Alex isn't aware of that. The fact that Sam is watching but not saying anything might be a red herring. The key here is Alex's belief, not the actual content. 

So, the label is 'coffee', so Alex's belief is that the jar contains coffee. Therefore, when Alex pours from it, they believe they're putting coffee into their cup. The actual content being sugar doesn't affect Alex's belief. The answer should be coffee. Let me check the example given. In the example, the bottle was labeled 'water' but had lemon juice, and Maya believed she was drinking water. So the answer was water. Similarly here, the jar is labeled coffee, so Alex believes it's coffee. The answer should be coffee.
</think>

ANSWER: coffee",,400,coffee,coffee,True,exact_match,False,,2026-04-15T19:41:21.492911
tom_005,theory_of_mind,false_belief,basic,Qwen/Qwen3-4B-Instruct-2507,Qwen3-4B-Instruct,4B,Dense,Instruction,standard,"You are being tested on social reasoning tasks.
Read the scenario carefully and answer the question.
Give a clear, concise answer. End your response with your final answer on a new line
in the format: ANSWER: <your answer>","Example:
A bottle is marked 'water' but holds lemon juice. Maya drinks from it thinking it is water.

Question: What does Maya believe she is drinking?
ANSWER: water

---

A jar is labeled 'coffee' but actually contains sugar. Alex pours from it thinking it is coffee. Alex's friend Sam watches but says nothing.

Question: What does Alex believe they are putting in their cup?","Alex believes they are putting coffee in their cup.  

ANSWER: coffee",,159,coffee,coffee,True,exact_match,False,,2026-04-15T19:41:23.594530
